基金名稱,淨值,一年績效,配息日,配息金額,年化配息率,連結
PIMCO多元收益債券基金-M級類別（月收息強化股份） (美元｜月配),8.1400,-15.56%,2022/07/28,0.0298,4.48%,"https://fund.cnyes.com/detail/PIMCO多元收益債券基金-M級類別（月收息強化股份）/B46,065/report"
PIMCO多元收益債券基金-M級類別（月收息股份） (美元｜月配),10.0700,-15.57%,2022/07/28,0.0247,3.01%,"https://fund.cnyes.com/detail/PIMCO多元收益債券基金-M級類別（月收息股份）/B46,046/report"
